HomeTeam,AwayTeam,FTHG,FTAG,FTR
Man City,Leicester,5,1,H
Stoke,Brighton,1,1,D
Swansea,Burnley,1,0,H
Tottenham,Arsenal,1,0,H
West Ham,Watford,2,0,H
Huddersfield,Bournemouth,4,1,H
Newcastle,Man United,1,0,H
Southampton,Liverpool,0,2,A
Chelsea,West Brom,3,0,H
Bournemouth,Newcastle,2,2,D
Brighton,Swansea,4,1,H
Burnley,Southampton,1,1,D
Leicester,Stoke,1,1,D
Liverpool,West Ham,4,1,H
Watford,Everton,1,0,H
West Brom,Huddersfield,1,2,A
Crystal Palace,Tottenham,0,1,A
Man United,Chelsea,2,1,H
Arsenal,Man City,0,3,A
Burnley,Everton,2,1,H
Leicester,Bournemouth,1,1,D
Liverpool,Newcastle,2,0,H
Southampton,Stoke,0,0,D
Swansea,West Ham,4,1,H
Tottenham,Huddersfield,2,0,H
Watford,West Brom,1,0,H
Brighton,Arsenal,2,1,H
Man City,Chelsea,1,0,H
Crystal Palace,Man United,2,3,A
Chelsea,Crystal Palace,2,1,H
Everton,Brighton,2,0,H
Huddersfield,Swansea,0,0,D
Man United,Liverpool,2,1,H
Newcastle,Southampton,3,0,H
West Brom,Leicester,1,4,A
West Ham,Burnley,0,3,A
Arsenal,Watford,3,0,H
Bournemouth,Tottenham,1,4,A
Stoke,Man City,0,2,A
Bournemouth,West Brom,2,1,H
Huddersfield,Crystal Palace,0,2,A
Liverpool,Watford,5,0,H
Stoke,Everton,1,2,A
Brighton,Leicester,0,2,A
Crystal Palace,Liverpool,1,2,A
Everton,Man City,1,3,A
Man United,Swansea,2,0,H
Newcastle,Huddersfield,1,0,H
Watford,Bournemouth,2,2,D
West Brom,Burnley,1,2,A
West Ham,Southampton,3,0,H
Arsenal,Stoke,3,0,H
Chelsea,Tottenham,1,3,A
Bournemouth,Crystal Palace,2,2,D
Brighton,Huddersfield,1,1,D
Everton,Liverpool,0,0,D
Leicester,Newcastle,1,2,A
Man City,Man United,2,3,A
Stoke,Tottenham,1,2,A
Watford,Burnley,1,2,A
West Brom,Swansea,1,1,D
Arsenal,Southampton,3,2,H
Chelsea,West Ham,1,1,D
Burnley,Leicester,2,1,H
Crystal Palace,Brighton,3,2,H
Huddersfield,Watford,1,0,H
Liverpool,Bournemouth,3,0,H
Southampton,Chelsea,2,3,A
Swansea,Everton,1,1,D
Tottenham,Man City,1,3,A
Man United,West Brom,0,1,A
Newcastle,Arsenal,2,1,H
West Ham,Stoke,1,1,D
Brighton,Tottenham,1,1,D
Bournemouth,Man United,0,2,A
Burnley,Chelsea,1,2,A
Leicester,Southampton,0,0,D
Watford,Crystal Palace,0,0,D
West Brom,Liverpool,2,2,D
Arsenal,West Ham,4,1,H
Man City,Swansea,5,0,H
Stoke,Burnley,1,1,D
Everton,Newcastle,1,0,H
Burnley,Brighton,0,0,D
Crystal Palace,Leicester,5,0,H
Huddersfield,Everton,0,2,A
Liverpool,Stoke,0,0,D
Newcastle,West Brom,0,1,A
Southampton,Bournemouth,2,1,H
Swansea,Chelsea,0,1,A
Man United,Arsenal,2,1,H
West Ham,Man City,1,4,A
Tottenham,Watford,2,0,H
Brighton,Man United,1,0,H
Bournemouth,Swansea,1,0,H
Everton,Southampton,1,1,D
Leicester,West Ham,0,2,A
Stoke,Crystal Palace,1,2,A
Watford,Newcastle,2,1,H
West Brom,Tottenham,1,0,H
Arsenal,Burnley,5,0,H
Chelsea,Liverpool,1,0,H
Man City,Huddersfield,0,0,D
Swansea,Southampton,0,1,A
Chelsea,Huddersfield,1,1,D
Leicester,Arsenal,3,1,H
Man City,Brighton,3,1,H
Tottenham,Newcastle,1,0,H
West Ham,Man United,0,0,D
Burnley,Bournemouth,1,2,A
Crystal Palace,West Brom,2,0,H
Huddersfield,Arsenal,0,1,A
Liverpool,Brighton,4,0,H
Man United,Watford,1,0,H
Newcastle,Chelsea,3,0,H
Southampton,Man City,0,1,A
Swansea,Stoke,1,2,A
Tottenham,Leicester,5,4,H
West Ham,Everton,3,1,H
Burnley,Swansea,0,1,A
Crystal Palace,West Brom,0,1,A
Everton,Tottenham,1,1,D
Hull,Leicester,2,1,H
Man City,Sunderland,2,1,H
Middlesbrough,Stoke,1,1,D
Southampton,Watford,1,1,D
Arsenal,Liverpool,3,4,A
Bournemouth,Man United,1,3,A
Chelsea,West Ham,2,1,H
Man United,Southampton,2,0,H
Burnley,Liverpool,2,0,H
Leicester,Arsenal,0,0,D
Stoke,Man City,1,4,A
Swansea,Hull,0,2,A
Tottenham,Crystal Palace,1,0,H
Watford,Chelsea,1,2,A
West Brom,Everton,1,2,A
Sunderland,Middlesbrough,1,2,A
West Ham,Bournemouth,1,0,H
Chelsea,Burnley,3,0,H
Crystal Palace,Bournemouth,1,1,D
Everton,Stoke,1,0,H
Hull,Man United,0,1,A
Leicester,Swansea,2,1,H
Southampton,Sunderland,1,1,D
Tottenham,Liverpool,1,1,D
Watford,Arsenal,1,3,A
Man City,West Ham,3,1,H
West Brom,Middlesbrough,0,0,D
Arsenal,Southampton,2,1,H
Bournemouth,West Brom,1,0,H
Burnley,Hull,1,1,D
Liverpool,Leicester,4,1,H
Man United,Man City,1,2,A
Middlesbrough,Crystal Palace,1,2,A
Stoke,Tottenham,0,4,A
West Ham,Watford,2,4,A
Swansea,Chelsea,2,2,D
Sunderland,Everton,0,3,A
Chelsea,Liverpool,1,2,A
Everton,Middlesbrough,3,1,H
Hull,Arsenal,1,4,A
Leicester,Burnley,3,0,H
Man City,Bournemouth,4,0,H
West Brom,West Ham,4,2,H
Crystal Palace,Stoke,4,1,H
Southampton,Swansea,1,0,H
Tottenham,Sunderland,1,0,H
Watford,Man United,3,1,H
Arsenal,Chelsea,3,0,H
Bournemouth,Everton,1,0,H
Liverpool,Hull,5,1,H
Man United,Leicester,4,1,H
Middlesbrough,Tottenham,1,2,A
Stoke,West Brom,1,1,D
Sunderland,Crystal Palace,2,3,A
Swansea,Man City,1,3,A
West Ham,Southampton,0,3,A
Burnley,Watford,2,0,H
Everton,Crystal Palace,1,1,D
Hull,Chelsea,0,2,A
Sunderland,West Brom,1,1,D
Swansea,Liverpool,1,2,A
Watford,Bournemouth,2,2,D
West Ham,Middlesbrough,1,1,D
Burnley,Arsenal,0,1,A
Leicester,Southampton,0,0,D
Man United,Stoke,1,1,D
Tottenham,Man City,2,0,H
Arsenal,Swansea,3,2,H
Bournemouth,Hull,6,1,H
Chelsea,Leicester,3,0,H
Crystal Palace,West Ham,0,1,A
Man City,Everton,1,1,D
Stoke,Sunderland,2,0,H
West Brom,Tottenham,1,1,D
Middlesbrough,Watford,0,1,A
Southampton,Burnley,3,1,H
Liverpool,Man United,0,0,D
Arsenal,Middlesbrough,0,0,D
Bournemouth,Tottenham,0,0,D
Burnley,Everton,2,1,H
Hull,Stoke,0,2,A
Leicester,Crystal Palace,3,1,H
Liverpool,West Brom,2,1,H
Swansea,Watford,0,0,D
West Ham,Sunderland,1,0,H
Chelsea,Man United,4,0,H
Man City,Southampton,1,1,D
Crystal Palace,Liverpool,2,4,A
Man United,Burnley,0,0,D
Middlesbrough,Bournemouth,2,0,H
Sunderland,Arsenal,1,4,A
Tottenham,Leicester,1,1,D
Watford,Hull,1,0,H
West Brom,Man City,0,4,A
Everton,West Ham,2,0,H
Southampton,Chelsea,0,2,A
Stoke,Swansea,3,1,H
Bournemouth,Sunderland,1,2,A
Burnley,Crystal Palace,3,2,H
Chelsea,Everton,5,0,H
Man City,Middlesbrough,1,1,D
West Ham,Stoke,1,1,D
Arsenal,Tottenham,1,1,D
Hull,Southampton,2,1,H
Leicester,West Brom,1,2,A
Liverpool,Watford,6,1,H
Swansea,Man United,1,3,A
Crystal Palace,Man City,1,2,A
Everton,Swansea,1,1,D
Man United,Arsenal,1,1,D
Southampton,Liverpool,0,0,D
Stoke,Bournemouth,0,1,A
Sunderland,Hull,3,0,H
Tottenham,West Ham,3,2,H
Watford,Leicester,2,1,H
Middlesbrough,Chelsea,0,1,A
West Brom,Burnley,4,0,H
Burnley,Man City,1,2,A
Chelsea,Tottenham,2,1,H
Hull,West Brom,1,1,D
Leicester,Middlesbrough,2,2,D
Liverpool,Sunderland,2,0,H
Swansea,Crystal Palace,5,4,H
Arsenal,Bournemouth,3,1,H
Man United,West Ham,1,1,D
Southampton,Everton,1,0,H
Watford,Stoke,0,1,A
Crystal Palace,Southampton,3,0,H
Man City,Chelsea,1,3,A
Stoke,Burnley,2,0,H
Sunderland,Leicester,2,1,H
Tottenham,Swansea,5,0,H
West Brom,Watford,3,1,H
West Ham,Arsenal,1,5,A
Bournemouth,Liverpool,4,3,H
Everton,Man United,1,1,D
Middlesbrough,Hull,1,0,H
Arsenal,Stoke,3,1,H
Burnley,Bournemouth,3,2,H
Hull,Crystal Palace,3,3,D
Leicester,Man City,4,2,H
Swansea,Sunderland,3,0,H
Watford,Everton,3,2,H
Chelsea,West Brom,1,0,H
Liverpool,West Ham,2,2,D
Man United,Tottenham,1,0,H
Southampton,Middlesbrough,1,0,H
Bournemouth,Leicester,1,0,H
Everton,Arsenal,2,1,H
Crystal Palace,Man United,1,2,A
Man City,Watford,2,0,H
Middlesbrough,Liverpool,0,3,A
Stoke,Southampton,0,0,D
Sunderland,Chelsea,0,1,A
Tottenham,Hull,3,0,H
West Brom,Swansea,3,1,H
West Ham,Burnley,1,0,H
Crystal Palace,Chelsea,0,1,A
Middlesbrough,Swansea,3,0,H
Stoke,Leicester,2,2,D
Sunderland,Watford,1,0,H
West Brom,Man United,0,2,A
West Ham,Hull,1,0,H
Bournemouth,Southampton,1,3,A
Man City,Arsenal,2,1,H
Tottenham,Burnley,2,1,H
Everton,Liverpool,0,1,A
Arsenal,West Brom,1,0,H
Burnley,Middlesbrough,1,0,H
Chelsea,Bournemouth,3,0,H
Hull,Man City,0,3,A
Leicester,Everton,0,2,A
Man United,Sunderland,3,1,H
Swansea,West Ham,1,4,A
Watford,Crystal Palace,1,1,D
Liverpool,Stoke,4,1,H
Southampton,Tottenham,1,4,A
Hull,Everton,2,2,D
Burnley,Sunderland,4,1,H
Chelsea,Stoke,4,2,H
Leicester,West Ham,1,0,H
Liverpool,Man City,1,0,H
Man United,Middlesbrough,2,1,H
Southampton,West Brom,1,2,A
Swansea,Bournemouth,0,3,A
Arsenal,Crystal Palace,2,0,H
Watford,Tottenham,1,4,A
Everton,Southampton,3,0,H
Man City,Burnley,2,1,H
Middlesbrough,Leicester,0,0,D
Sunderland,Liverpool,2,2,D
West Brom,Hull,3,1,H
West Ham,Man United,0,2,A
Bournemouth,Arsenal,3,3,D
Crystal Palace,Swansea,1,2,A
Stoke,Watford,2,0,H
Tottenham,Chelsea,2,0,H
Burnley,Southampton,1,0,H
Hull,Bournemouth,3,1,H
Leicester,Chelsea,0,3,A
Sunderland,Stoke,1,3,A
Swansea,Arsenal,0,4,A
Tottenham,West Brom,4,0,H
Watford,Middlesbrough,0,0,D
West Ham,Crystal Palace,3,0,H
Everton,Man City,4,0,H
Man United,Liverpool,1,1,D
Bournemouth,Watford,2,2,D
Crystal Palace,Everton,0,1,A
Liverpool,Swansea,2,3,A
Man City,Tottenham,2,2,D
Middlesbrough,West Ham,1,3,A
Stoke,Man United,1,1,D
West Brom,Sunderland,2,0,H
Arsenal,Burnley,2,1,H
Chelsea,Hull,2,0,H
Southampton,Leicester,3,0,H
Arsenal,Watford,1,2,A
Bournemouth,Crystal Palace,0,2,A
Burnley,Leicester,1,0,H
Liverpool,Chelsea,1,1,D
Middlesbrough,West Brom,1,1,D
Sunderland,Tottenham,0,0,D
Swansea,Southampton,2,1,H
Man United,Hull,0,0,D
Stoke,Everton,1,1,D
West Ham,Man City,0,4,A
Chelsea,Arsenal,3,1,H
Crystal Palace,Sunderland,0,4,A
Everton,Bournemouth,6,3,H
Hull,Liverpool,2,0,H
Southampton,West Ham,1,3,A
Tottenham,Middlesbrough,1,0,H
Watford,Burnley,2,1,H
West Brom,Stoke,1,0,H
Leicester,Man United,0,3,A
Man City,Swansea,2,1,H
Arsenal,Hull,2,0,H
Liverpool,Tottenham,2,0,H
Man United,Watford,2,0,H
Middlesbrough,Everton,0,0,D
Stoke,Crystal Palace,1,0,H
Sunderland,Southampton,0,4,A
West Ham,West Brom,2,2,D
Burnley,Chelsea,1,1,D
Swansea,Leicester,2,0,H
Bournemouth,Man City,0,2,A
Chelsea,Swansea,3,1,H
Crystal Palace,Middlesbrough,1,0,H
Everton,Sunderland,2,0,H
Hull,Burnley,1,1,D
Watford,West Ham,1,1,D
West Brom,Bournemouth,2,1,H
Tottenham,Stoke,4,0,H
Leicester,Liverpool,3,1,H
Leicester,Hull,3,1,H
Liverpool,Arsenal,3,1,H
Man United,Bournemouth,1,1,D
Stoke,Middlesbrough,2,0,H
Swansea,Burnley,3,2,H
Watford,Southampton,3,4,A
West Brom,Crystal Palace,0,2,A
Sunderland,Man City,0,2,A
Tottenham,Everton,3,2,H
West Ham,Chelsea,1,2,A
Man City,Stoke,0,0,D
Bournemouth,West Ham,3,2,H
Everton,West Brom,3,0,H
Hull,Swansea,2,1,H
Liverpool,Burnley,2,1,H
Bournemouth,Swansea,2,0,H
Crystal Palace,Watford,1,0,H
Everton,Hull,4,0,H
Stoke,Chelsea,1,2,A
Sunderland,Burnley,0,0,D
West Brom,Arsenal,3,1,H
West Ham,Leicester,2,3,A
Man City,Liverpool,1,1,D
Middlesbrough,Man United,1,3,A
Tottenham,Southampton,2,1,H
Burnley,Tottenham,0,2,A
Chelsea,Crystal Palace,1,2,A
Hull,West Ham,2,1,H
Leicester,Stoke,2,0,H
Liverpool,Everton,3,1,H
Man United,West Brom,0,0,D
Southampton,Bournemouth,0,0,D
Watford,Sunderland,1,0,H
Arsenal,Man City,2,2,D
Swansea,Middlesbrough,0,0,D
Burnley,Stoke,1,0,H
Leicester,Sunderland,2,0,H
Man United,Everton,1,1,D
Watford,West Brom,2,0,H
Arsenal,West Ham,3,0,H
Chelsea,Man City,2,1,H
Hull,Middlesbrough,4,2,H
Liverpool,Bournemouth,2,2,D
Southampton,Crystal Palace,3,1,H
Swansea,Tottenham,1,3,A
Bournemouth,Chelsea,1,3,A
Man City,Hull,3,1,H
Middlesbrough,Burnley,0,0,D
Stoke,Liverpool,1,2,A
Tottenham,Watford,4,0,H
West Brom,Southampton,0,1,A
West Ham,Swansea,1,0,H
Everton,Leicester,4,2,H
Sunderland,Man United,0,3,A
Crystal Palace,Arsenal,3,0,H
Crystal Palace,Leicester,2,2,D
Everton,Burnley,3,1,H
Southampton,Man City,0,3,A
Stoke,Hull,3,1,H
Sunderland,West Ham,2,2,D
Tottenham,Bournemouth,4,0,H
Watford,Swansea,1,0,H
Man United,Chelsea,2,0,H
West Brom,Liverpool,0,1,A
Middlesbrough,Arsenal,1,2,A
Bournemouth,Middlesbrough,4,0,H
Hull,Watford,2,0,H
Swansea,Stoke,2,0,H
West Ham,Everton,0,0,D
Burnley,Man United,0,2,A
Liverpool,Crystal Palace,1,2,A
Chelsea,Southampton,4,2,H
Arsenal,Leicester,1,0,H
Crystal Palace,Tottenham,0,1,A
Middlesbrough,Sunderland,1,0,H
Man City,Man United,0,0,D
Crystal Palace,Burnley,0,2,A
Southampton,Hull,0,0,D
Stoke,West Ham,0,0,D
Sunderland,Bournemouth,0,1,A
West Brom,Leicester,0,1,A
Everton,Chelsea,0,3,A
Man United,Swansea,1,1,D
Middlesbrough,Man City,2,2,D
Tottenham,Arsenal,2,0,H
Watford,Liverpool,0,1,A
West Ham,Tottenham,1,0,H
Bournemouth,Stoke,2,2,D
Burnley,West Brom,2,2,D
Hull,Sunderland,0,2,A
Leicester,Watford,3,0,H
Man City,Crystal Palace,5,0,H
Swansea,Everton,1,0,H
Arsenal,Man United,2,0,H
Liverpool,Southampton,0,0,D
Chelsea,Middlesbrough,3,0,H
Southampton,Arsenal,0,2,A
Everton,Watford,1,0,H
West Brom,Chelsea,0,1,A
Bournemouth,Burnley,2,1,H
Man City,Leicester,2,1,H
Middlesbrough,Southampton,1,2,A
Stoke,Arsenal,1,4,A
Sunderland,Swansea,0,2,A
Crystal Palace,Hull,4,0,H
Tottenham,Man United,2,1,H
West Ham,Liverpool,0,4,A
Chelsea,Watford,4,3,H
Arsenal,Sunderland,2,0,H
Man City,West Brom,3,1,H
Southampton,Man United,0,0,D
Leicester,Tottenham,1,6,A
Arsenal,Everton,3,1,H
Burnley,West Ham,1,2,A
Chelsea,Sunderland,5,1,H
Hull,Tottenham,1,7,A
Leicester,Bournemouth,1,1,D
Liverpool,Middlesbrough,3,0,H
Man United,Crystal Palace,2,0,H
Southampton,Stoke,0,1,A
Swansea,West Brom,2,1,H
Watford,Man City,0,5,A
Bournemouth,Aston Villa,0,1,A
Chelsea,Swansea,2,2,D
Everton,Watford,2,2,D
Leicester,Sunderland,4,2,H
Man United,Tottenham,1,0,H
Norwich,Crystal Palace,1,3,A
Arsenal,West Ham,0,2,A
Newcastle,Southampton,2,2,D
Stoke,Liverpool,0,1,A
West Brom,Man City,0,3,A
Aston Villa,Man United,0,1,A
Southampton,Everton,0,3,A
Sunderland,Norwich,1,3,A
Swansea,Newcastle,2,0,H
Tottenham,Stoke,2,2,D
Watford,West Brom,0,0,D
West Ham,Leicester,1,2,A
Crystal Palace,Arsenal,1,2,A
Man City,Chelsea,3,0,H
Liverpool,Bournemouth,1,0,H
Crystal Palace,Aston Villa,2,1,H
Leicester,Tottenham,1,1,D
Man United,Newcastle,0,0,D
Norwich,Stoke,1,1,D
Sunderland,Swansea,1,1,D
West Ham,Bournemouth,3,4,A
Everton,Man City,0,2,A
Watford,Southampton,0,0,D
West Brom,Chelsea,2,3,A
Arsenal,Liverpool,0,0,D
Aston Villa,Sunderland,2,2,D
Bournemouth,Leicester,1,1,D
Chelsea,Crystal Palace,1,2,A
Liverpool,West Ham,0,3,A
Man City,Watford,2,0,H
Newcastle,Arsenal,0,1,A
Stoke,West Brom,0,1,A
Tottenham,Everton,0,0,D
Southampton,Norwich,3,0,H
Swansea,Man United,2,1,H
Arsenal,Stoke,2,0,H
Crystal Palace,Man City,0,1,A
Everton,Chelsea,3,1,H
Man United,Liverpool,3,1,H
Norwich,Bournemouth,3,1,H
Watford,Swansea,1,0,H
West Brom,Southampton,0,0,D
Leicester,Aston Villa,3,2,H
Sunderland,Tottenham,0,1,A
West Ham,Newcastle,2,0,H
Aston Villa,West Brom,0,1,A
Bournemouth,Sunderland,2,0,H
Chelsea,Arsenal,2,0,H
Man City,West Ham,1,2,A
Newcastle,Watford,1,2,A
Stoke,Leicester,2,2,D
Swansea,Everton,0,0,D
Liverpool,Norwich,1,1,D
Southampton,Man United,2,3,A
Tottenham,Crystal Palace,1,0,H
Leicester,Arsenal,2,5,A
Liverpool,Aston Villa,3,2,H
Man United,Sunderland,3,0,H
Newcastle,Chelsea,2,2,D
Southampton,Swansea,3,1,H
Stoke,Bournemouth,2,1,H
Tottenham,Man City,4,1,H
West Ham,Norwich,2,2,D
Watford,Crystal Palace,0,1,A
West Brom,Everton,2,3,A
Aston Villa,Stoke,0,1,A
Bournemouth,Watford,1,1,D
Chelsea,Southampton,1,3,A
Crystal Palace,West Brom,2,0,H
Man City,Newcastle,6,1,H
Norwich,Leicester,1,2,A
Sunderland,West Ham,2,2,D
Arsenal,Man United,3,0,H
Everton,Liverpool,1,1,D
Swansea,Tottenham,2,2,D
Chelsea,Aston Villa,2,0,H
Crystal Palace,West Ham,1,3,A
Everton,Man United,0,3,A
Man City,Bournemouth,5,1,H
Southampton,Leicester,2,2,D
Tottenham,Liverpool,0,0,D
Watford,Arsenal,0,3,A
West Brom,Sunderland,1,0,H
Newcastle,Norwich,6,2,H
Swansea,Stoke,0,1,A
Arsenal,Everton,2,1,H
Aston Villa,Swansea,1,2,A
Leicester,Crystal Palace,1,0,H
Norwich,West Brom,0,1,A
Stoke,Watford,0,2,A
West Ham,Chelsea,2,1,H
Bournemouth,Tottenham,1,5,A
Liverpool,Southampton,1,1,D
Man United,Man City,0,0,D
Sunderland,Newcastle,3,0,H
Chelsea,Liverpool,1,3,A
Crystal Palace,Man United,0,0,D
Man City,Norwich,2,1,H
Newcastle,Stoke,0,0,D
Swansea,Arsenal,0,3,A
Watford,West Ham,2,0,H
West Brom,Leicester,2,3,A
Everton,Sunderland,6,2,H
Southampton,Bournemouth,2,0,H
Tottenham,Aston Villa,3,1,H
Bournemouth,Newcastle,0,1,A
Leicester,Watford,2,1,H
Man United,West Brom,2,0,H
Norwich,Swansea,1,0,H
Stoke,Chelsea,1,0,H
Sunderland,Southampton,0,1,A
West Ham,Everton,1,1,D
Arsenal,Tottenham,1,1,D
Aston Villa,Man City,0,0,D
Liverpool,Crystal Palace,1,2,A
Chelsea,Norwich,1,0,H
Everton,Aston Villa,4,0,H
Man City,Liverpool,1,4,A
Newcastle,Leicester,0,3,A
Southampton,Stoke,0,1,A
Swansea,Bournemouth,2,2,D
Watford,Man United,1,2,A
West Brom,Arsenal,2,1,H
Tottenham,West Ham,4,1,H
Crystal Palace,Sunderland,0,1,A
Aston Villa,Watford,2,3,A
Bournemouth,Everton,3,3,D
Crystal Palace,Newcastle,5,1,H
Leicester,Man United,1,1,D
Man City,Southampton,3,1,H
Sunderland,Stoke,2,0,H
Liverpool,Swansea,1,0,H
Norwich,Arsenal,1,1,D
Tottenham,Chelsea,0,0,D
West Ham,West Brom,1,1,D
Arsenal,Sunderland,3,1,H
Chelsea,Bournemouth,0,1,A
Man United,West Ham,0,0,D
Southampton,Aston Villa,1,1,D
Stoke,Man City,2,0,H
Swansea,Leicester,0,3,A
Watford,Norwich,2,0,H
West Brom,Tottenham,1,1,D
Newcastle,Liverpool,2,0,H
Everton,Crystal Palace,1,1,D
Bournemouth,Man United,2,1,H
Crystal Palace,Southampton,1,0,H
Man City,Swansea,2,1,H
Norwich,Everton,1,1,D
Sunderland,Watford,0,1,A
West Ham,Stoke,0,0,D
Aston Villa,Arsenal,0,2,A
Liverpool,West Brom,2,2,D
Tottenham,Newcastle,1,2,A
Leicester,Chelsea,2,1,H
Chelsea,Sunderland,3,1,H
Everton,Leicester,2,3,A
Man United,Norwich,1,2,A
Newcastle,Aston Villa,1,1,D
Southampton,Tottenham,0,2,A
Stoke,Crystal Palace,1,2,A
West Brom,Bournemouth,1,2,A
Swansea,West Ham,0,0,D
Watford,Liverpool,3,0,H
Arsenal,Man City,2,1,H
Aston Villa,West Ham,1,1,D
Bournemouth,Crystal Palace,0,0,D
Chelsea,Watford,2,2,D
Liverpool,Leicester,1,0,H
Man City,Sunderland,4,1,H
Newcastle,Everton,0,1,A
Southampton,Arsenal,4,0,H
Stoke,Man United,2,0,H
Swansea,West Brom,1,0,H
Tottenham,Norwich,3,0,H
Arsenal,Bournemouth,2,0,H
Crystal Palace,Swansea,0,0,D
Everton,Stoke,3,4,A
Man United,Chelsea,0,0,D
Norwich,Aston Villa,2,0,H
Watford,Tottenham,1,2,A
West Brom,Newcastle,1,0,H
West Ham,Southampton,2,1,H
Leicester,Man City,0,0,D
Sunderland,Liverpool,0,1,A
Arsenal,Newcastle,1,0,H
Leicester,Bournemouth,0,0,D
Man United,Swansea,2,1,H
Norwich,Southampton,1,0,H
Sunderland,Aston Villa,3,1,H
Watford,Man City,1,2,A
West Brom,Stoke,2,1,H
West Ham,Liverpool,2,0,H
Crystal Palace,Chelsea,0,3,A
Everton,Tottenham,1,1,D
Aston Villa,Crystal Palace,1,0,H
Bournemouth,West Ham,1,3,A
Newcastle,Man United,3,3,D
Chelsea,West Brom,2,2,D
Liverpool,Arsenal,3,3,D
Man City,Everton,0,0,D
Southampton,Watford,2,0,H
Stoke,Norwich,3,1,H
Swansea,Sunderland,2,4,A
Tottenham,Leicester,0,1,A
Aston Villa,Leicester,1,1,D
Bournemouth,Norwich,3,0,H
Chelsea,Everton,3,3,D
Man City,Crystal Palace,4,0,H
Newcastle,West Ham,2,1,H
Southampton,West Brom,3,0,H
Tottenham,Sunderland,4,1,H
Liverpool,Man United,0,1,A
Stoke,Arsenal,0,0,D
Swansea,Watford,1,0,H
Crystal Palace,Tottenham,1,3,A
Leicester,Stoke,3,0,H
Man United,Southampton,0,1,A
Norwich,Liverpool,4,5,A
Sunderland,Bournemouth,1,1,D
Watford,Newcastle,2,1,H
West Brom,Aston Villa,0,0,D
West Ham,Man City,2,2,D
Arsenal,Chelsea,0,1,A
Everton,Swansea,1,2,A
Arsenal,Southampton,0,0,D
Crystal Palace,Bournemouth,1,2,A
Leicester,Liverpool,2,0,H
Man United,Stoke,3,0,H
Norwich,Tottenham,0,3,A
Sunderland,Man City,0,1,A
West Brom,Swansea,1,1,D
West Ham,Aston Villa,2,0,H
Everton,Newcastle,3,0,H
Watford,Chelsea,0,0,D
Aston Villa,Norwich,2,0,H
Liverpool,Sunderland,2,2,D
Man City,Leicester,1,3,A
Newcastle,West Brom,1,0,H
Southampton,West Ham,1,0,H
Stoke,Everton,0,3,A
Swansea,Crystal Palace,1,1,D
Tottenham,Watford,1,0,H
Bournemouth,Arsenal,0,2,A
Chelsea,Man United,1,1,D
Bournemouth,Stoke,1,3,A
Chelsea,Newcastle,5,1,H
Crystal Palace,Watford,1,2,A
Everton,West Brom,0,1,A
Norwich,West Ham,2,2,D
Sunderland,Man United,2,1,H
Swansea,Southampton,0,1,A
Arsenal,Leicester,2,1,H
Aston Villa,Liverpool,0,6,A
Man City,Tottenham,1,2,A
Leicester,Norwich,1,0,H
Southampton,Chelsea,1,2,A
Stoke,Aston Villa,2,1,H
Watford,Bournemouth,0,0,D
West Brom,Crystal Palace,3,2,H
West Ham,Sunderland,1,0,H
Tottenham,Swansea,2,1,H
Man United,Arsenal,3,2,H
Aston Villa,Everton,1,3,A
Bournemouth,Southampton,2,0,H
Leicester,West Brom,2,2,D
Norwich,Chelsea,1,2,A
Sunderland,Crystal Palace,2,2,D
Arsenal,Swansea,1,2,A
Liverpool,Man City,3,0,H
Man United,Watford,1,0,H
Stoke,Newcastle,1,0,H
West Ham,Tottenham,1,0,H
Chelsea,Stoke,1,1,D
Everton,West Ham,2,3,A
Man City,Aston Villa,4,0,H
Newcastle,Bournemouth,1,3,A
Southampton,Sunderland,1,1,D
Swansea,Norwich,1,0,H
Tottenham,Arsenal,2,2,D
Watford,Leicester,0,1,A
Crystal Palace,Liverpool,1,2,A
West Brom,Man United,1,0,H
Bournemouth,Swansea,3,2,H
Norwich,Man City,0,0,D
Stoke,Southampton,1,2,A
Aston Villa,Tottenham,0,2,A
Leicester,Newcastle,1,0,H
Chelsea,West Ham,2,2,D
Crystal Palace,Leicester,0,1,A
Everton,Arsenal,0,2,A
Swansea,Aston Villa,1,0,H
Watford,Stoke,1,2,A
West Brom,Norwich,0,1,A
Man City,Man United,0,1,A
Newcastle,Sunderland,1,1,D
Southampton,Liverpool,3,2,H
Tottenham,Bournemouth,3,0,H
Arsenal,Watford,4,0,H
Aston Villa,Chelsea,0,4,A
Bournemouth,Man City,0,4,A
Liverpool,Tottenham,1,1,D
Norwich,Newcastle,3,2,H
Stoke,Swansea,2,2,D
Sunderland,West Brom,0,0,D
West Ham,Crystal Palace,2,2,D
Leicester,Southampton,1,0,H
Man United,Everton,1,0,H
Aston Villa,Bournemouth,1,2,A
Crystal Palace,Norwich,1,0,H
Man City,West Brom,2,1,H
Southampton,Newcastle,3,1,H
Swansea,Chelsea,1,0,H
Watford,Everton,1,1,D
West Ham,Arsenal,3,3,D
Liverpool,Stoke,4,1,H
Sunderland,Leicester,0,2,A
Tottenham,Man United,3,0,H
Crystal Palace,Everton,0,0,D
Chelsea,Man City,0,3,A
Everton,Southampton,1,1,D
Man United,Aston Villa,1,0,H
Newcastle,Swansea,3,0,H
Norwich,Sunderland,0,3,A
West Brom,Watford,0,1,A
