HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,Man City,0,2,A
Liverpool,West Ham,4,0,H
Southampton,Burnley,0,0,D
Cardiff,Newcastle,0,0,D
Chelsea,Arsenal,3,2,H
Everton,Southampton,2,1,H
Leicester,Wolves,2,0,H
Tottenham,Fulham,3,1,H
West Ham,Bournemouth,1,2,A
Brighton,Man United,3,2,H
Burnley,Watford,1,3,A
Man City,Huddersfield,6,1,H
Crystal Palace,Liverpool,0,2,A
Arsenal,West Ham,3,1,H
Bournemouth,Everton,2,2,D
Huddersfield,Cardiff,0,0,D
Liverpool,Brighton,1,0,H
Southampton,Leicester,1,2,A
Wolves,Man City,1,1,D
Fulham,Burnley,4,2,H
Newcastle,Chelsea,1,2,A
Watford,Crystal Palace,2,1,H
Man United,Tottenham,0,3,A
Brighton,Fulham,2,2,D
Chelsea,Bournemouth,2,0,H
Crystal Palace,Southampton,0,2,A
Everton,Huddersfield,1,1,D
Leicester,Liverpool,1,2,A
Man City,Newcastle,2,1,H
West Ham,Wolves,0,1,A
Burnley,Man United,0,2,A
Cardiff,Arsenal,2,3,A
Watford,Tottenham,2,1,H
Bournemouth,Leicester,4,2,H
Chelsea,Cardiff,4,1,H
Huddersfield,Crystal Palace,0,1,A
Man City,Fulham,3,0,H
Newcastle,Arsenal,1,2,A
Tottenham,Liverpool,1,2,A
Watford,Man United,1,2,A
Everton,West Ham,1,3,A
Wolves,Burnley,1,0,H
Southampton,Brighton,2,2,D
Brighton,Tottenham,1,2,A
Burnley,Bournemouth,4,0,H
Cardiff,Man City,0,5,A
Crystal Palace,Newcastle,0,0,D
Fulham,Watford,1,1,D
Leicester,Huddersfield,3,1,H
Liverpool,Southampton,3,0,H
Man United,Wolves,1,1,D
Arsenal,Everton,2,0,H
West Ham,Chelsea,0,0,D
Arsenal,Watford,2,0,H
Chelsea,Liverpool,1,1,D
Everton,Fulham,3,0,H
Huddersfield,Tottenham,0,2,A
Man City,Brighton,2,0,H
Newcastle,Leicester,0,2,A
West Ham,Man United,3,1,H
Wolves,Southampton,2,0,H
Cardiff,Burnley,1,2,A
Bournemouth,Crystal Palace,2,1,H
